id;placed_date;status;code;invoice_id;customer
1;2021-07-01T17:08:53;COMPLETED;Electronics;57858;calculate
2;2021-07-01T15:52:43;CANCELLED;one-to-one Corporate;74608;Steel
3;2021-07-01T07:20:10;CANCELLED;cross-platform Health;12251;real-time
4;2021-07-01T10:06:55;CANCELLED;Hat;10576;Square revolutionize
5;2021-07-01T17:10:24;CANCELLED;implement Implementation;23738;Bike
6;2021-07-01T08:21:45;CANCELLED;Industrial Checking Right-sized;52549;models
7;2021-07-01T08:33:53;PENDING;Implemented;30578;Home
8;2021-07-01T12:32:54;CANCELLED;Handmade Automotive Principal;60178;success Liaison Riel
9;2021-07-01T17:20:40;COMPLETED;National Program;95175;neural hacking
10;2021-07-01T17:13:40;COMPLETED;hack Shirt Walks;57700;full-range back
